Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Mario Valenzuela,OAX,40,65,232,274,59,44,9,0,6,29,29,37,2,55,2,3,0,13,0,2,0.254
Miguel Rodriguez,OAX,22,44,131,143,30,23,6,0,1,13,9,8,0,20,1,1,2,5,0,1,0.229
Adan Munoz,OAX,39,27,101,108,23,18,2,0,3,9,16,4,0,18,3,0,0,3,0,0,0.228
Ismael Martinez,OAX,24,21,65,76,14,6,4,2,2,7,11,9,4,21,2,0,0,3,0,0,0.215
Luis Medina,OAX,22,38,62,73,13,8,3,1,1,11,6,5,0,14,0,0,6,0,3,0,0.21
Juan Rodriguez,OAX,20,20,39,46,6,+,2,0,0,2,1,7,0,7,0,0,0,1,0,0,0.154
Jose Cobos,OAX,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Cruz,OAX,21,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roman Sesteaga,OAX,20,7,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
Oscar Sanay,MVA,25,39,76,87,28,26,1,0,1,18,8,7,0,9,0,0,4,0,2,2,0.368
Julio Borbon,MVA,31,52,202,231,69,56,9,2,2,40,20,19,3,21,3,3,4,4,8,2,0.342
Amadeo Zazueta,MVA,31,64,256,272,87,60,18,1,8,45,43,12,0,28,1,3,0,7,5,3,0.34
Antonio Lamas,MVA,27,61,209,233,71,55,10,2,4,46,33,18,2,21,3,2,1,7,8,5,0.34
Tim Torres,MVA,33,23,71,92,23,19,1,0,3,15,14,18,1,19,0,3,0,1,2,1,0.324
Manny Rodriguez,MVA,34,66,252,289,81,52,20,0,9,43,65,33,1,35,0,4,0,3,12,2,0.321
Jose Heberto Felix,MVA,29,35,117,126,36,29,6,0,1,19,28,6,0,7,0,1,2,3,0,1,0.308
Willy Taveras,MVA,35,69,286,325,87,62,9,6,10,56,46,18,2,57,17,2,2,2,13,2,0.304
Matt Clark,MVA,30,69,264,303,78,47,16,0,15,45,59,37,6,64,1,1,0,6,0,1,0.295
Nate Freiman,MVA,30,14,52,63,15,11,2,0,2,8,9,10,1,12,1,0,0,1,0,0,0.288
Jose Amador,MVA,37,59,206,241,59,44,10,0,5,32,40,29,1,33,4,2,0,8,1,0,0.286
Rodolfo Amador,MVA,24,54,91,94,25,20,3,0,2,11,12,0,0,6,2,1,0,3,0,2,0.275
Francisco Cordoba,MVA,33,29,86,102,21,18,1,0,2,11,9,9,0,16,2,2,3,1,0,0,0.244
Ruben Rivera,MVA,43,48,122,137,29,18,7,0,4,22,20,13,0,30,1,1,0,1,5,2,0.238
Cole Gillespie,MVA,33,10,36,39,8,5,3,0,0,6,3,3,0,7,0,0,0,0,1,0,0.222
Daric Barton,MVA,31,26,69,96,15,9,3,0,3,18,9,25,0,14,0,1,1,0,0,0,0.217
Sergio Perez,MVA,27,8,14,15,3,2,1,0,0,2,0,1,0,3,0,0,0,1,0,0,0.214
Mario Ivan Santana,MVA,41,17,26,30,5,3,2,0,0,2,3,1,0,5,1,0,2,2,0,1,0.192
Josh Vargas,MVA,24,34,32,34,6,4,2,0,0,10,5,1,0,14,0,1,0,1,2,1,0.188
Jon Del Campo,MVA,29,4,12,14,2,2,0,0,0,2,0,2,1,1,0,0,0,0,1,0,0.167
Carlos Ramirez,MVA,29,11,15,16,2,2,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0.133
Nyjer Morgan,MVA,36,3,9,13,1,1,0,0,0,4,0,2,0,1,2,0,0,0,0,0,0.111
Kyle Blanks,MVA,30,3,13,13,1,0,0,0,1,1,2,0,0,5,0,0,0,0,0,0,0.077
Chris Roberson,MTY,37,65,274,313,105,65,24,3,13,61,46,26,7,42,4,7,2,5,12,7,0.383
Asael Sanchez,MTY,23,14,37,41,14,12,2,0,0,6,8,3,0,7,1,0,0,0,0,0,0.378
Zoilo Almonte,MTY,28,70,286,323,106,66,28,1,11,53,48,29,5,59,5,3,0,5,0,0,0.371
Said Gutierrez,MTY,37,38,124,139,44,35,4,0,5,15,28,7,0,15,5,1,2,7,0,0,0.355
Victor Mendoza,MTY,26,24,62,66,22,12,4,0,6,9,21,3,0,11,0,0,1,2,0,0,0.355
Ramon Rios,MTY,29,62,254,276,87,71,11,1,4,45,24,15,0,22,1,3,3,11,0,0,0.343
Leo German,MTY,24,65,207,231,69,57,11,1,0,35,17,12,1,43,3,2,7,8,14,6,0.333
Agustin Murillo,MTY,35,31,114,127,36,28,4,0,4,18,14,12,1,11,0,0,1,3,1,2,0.316
Moises Gutierrez,MTY,22,43,104,119,32,23,4,1,4,17,22,8,0,23,2,4,1,4,0,0,0.308
Alex Valdez,MTY,32,67,241,287,69,46,10,1,12,44,44,39,7,44,1,6,0,1,1,1,0.286
Felix Perez,MTY,32,28,102,117,29,20,2,1,6,19,23,9,2,22,4,2,0,3,0,1,0.284
Luis Juarez,MTY,27,67,276,297,77,47,17,1,12,47,62,15,0,26,3,3,0,9,2,2,0.279
Luis Flores,MTY,30,20,52,53,14,8,3,0,3,7,4,0,0,8,0,0,1,1,0,0,0.269
Walter Ibarra,MTY,29,53,201,215,54,43,10,1,0,22,15,11,1,41,0,1,2,6,2,1,0.269
Roberto Valenzuela,MTY,22,34,74,85,18,15,2,1,0,13,7,4,0,6,1,1,5,1,0,0,0.243
Arturo Rodriguez,MTY,25,26,92,102,22,16,3,1,2,8,10,6,0,16,0,1,3,4,0,0,0.239
Gilberto Carrera,MTY,22,8,5,5,1,1,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0.2
Heber Gomez,MTY,39,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesus Anguamea,MEX,23,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carlos Figueroa,MEX,25,68,279,308,99,86,9,3,1,65,21,22,2,45,1,1,5,5,23,5,0.355
Jose Augusto Figueroa,MEX,24,40,117,123,41,30,7,3,1,18,14,4,0,26,1,0,1,4,1,2,0.35
Hans Wilson,MEX,31,14,35,36,12,12,0,0,0,2,5,0,0,4,0,0,1,2,1,0,0.343
Ivan Terrazas,MEX,33,68,260,280,89,63,23,0,3,33,49,16,3,32,1,0,3,10,0,1,0.342
Raymundo Torres,MEX,23,7,9,12,3,2,0,0,1,3,1,3,0,2,0,0,0,0,0,0,0.333
